id,range_names,Clipper Invocations,Post-Clip Primitives,CS Invocations,DS Invocations,GPU Elapsed Time,GS Invocations,Post-GS Primitives,HS Invocations,Primitive Count,Vertex Count,VS Invocations,Pixels Rendered,PS Invocations
527,DrawIndexed,2998,855,0,0,20,0,0,0,2998,8994,2505,3559,0
528,DrawIndexed,98304,55,0,0,86,0,0,0,98304,294912,89522,549,0
529,DrawIndexed,144,144,0,0,23,0,0,0,144,432,180,0,1
530,DrawIndexed,9929,1638,0,0,21,0,0,0,9929,29787,8313,0,0
531,DrawIndexed,8890,0,0,0,16,0,0,0,8890,26670,7410,0,0
532,DrawIndexedInstanced,610,610,0,0,25,0,0,0,610,1830,506,22976,37194
533,DrawIndexedInstanced,112,112,0,0,21,0,0,0,112,336,96,763,1248
534,DrawIndexed,113,2,0,0,16,0,0,0,113,339,137,1,0
535,DrawIndexed,5065,3450,0,0,20,0,0,0,5065,15195,4345,9496,0
536,DrawIndexed,5065,3326,0,0,18,0,0,0,5065,15195,4345,2180,0
537,DrawIndexed,5065,4979,0,0,21,0,0,0,5065,15195,4345,13340,0
538,DrawIndexed,898,0,0,0,15,0,0,0,898,2694,886,0,0
539,DrawIndexed,5065,3381,0,0,19,0,0,0,5065,15195,4345,3479,0
540,DrawIndexed,4540,0,0,0,16,0,0,0,4540,13620,3880,0,0
541,DrawIndexed,5065,3419,0,0,18,0,0,0,5065,15195,4345,9558,0
542,DrawIndexed,5065,4879,0,0,20,0,0,0,5065,15195,4345,9234,0
543,DrawIndexed,4540,3867,0,0,21,0,0,0,4540,13620,3880,13987,0
544,DrawIndexed,2,3,0,0,16,0,0,0,2,6,4,0,0
545,DrawIndexed,2368,291,0,0,22,0,0,0,2368,7104,6308,65248,0
546,DrawIndexed,10252,5463,0,0,21,0,0,0,10252,30756,8701,28045,0
547,DrawIndexed,452,302,0,0,16,0,0,0,452,1356,425,4852,0
548,DrawIndexed,82,82,0,0,16,0,0,0,82,246,77,671,0
549,DrawIndexed,148,148,0,0,16,0,0,0,148,444,144,605,0
550,DrawIndexed,150,136,0,0,16,0,0,0,150,450,144,753,0
551,DrawIndexed,82,82,0,0,15,0,0,0,82,246,77,63,0
552,DrawIndexed,82,51,0,0,15,0,0,0,82,246,77,245,0
553,DrawIndexed,150,150,0,0,16,0,0,0,150,450,144,1189,0
554,DrawIndexed,672,448,0,0,16,0,0,0,672,2016,607,3984,0
555,DrawIndexed,148,89,0,0,14,0,0,0,148,444,144,483,0
556,DrawIndexed,302,0,0,0,14,0,0,0,302,906,275,0,0
557,DrawIndexed,3495,1568,0,0,17,0,0,0,3495,10485,3118,4617,0
558,DrawIndexed,1532,0,0,0,18,0,0,0,1532,4596,1317,0,0
559,DrawIndexed,1532,1052,0,0,22,0,0,0,1532,4596,1317,15358,30921
560,DrawIndexed,1532,1532,0,0,21,0,0,0,1532,4596,1310,10382,19808
